Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF,5,125,1,2,LF270_,0,0,1,0,0,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,0,0,150,150,1,0,0,0
M,LF,5,125,1,2,LF270_,150,1,6,0,0,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,0,150,153,3,6,1,0,3
M,LF,5,125,1,2,LF270_,153,6,2,0,0,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,1,153,723,570,2,0,1,0
M,LF,5,125,1,2,LF270_,157,2,0,0,1,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,1,723,730,7,3,0,0,0
M,LF,5,125,1,2,LF270_,164,2,0,0,0,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,1,730,733,3,5,0,0,0
M,LF,5,125,1,2,LF270_,170,2,0,0,0,0,1,,111818 retrain,M,LF,5,125,1,2,LF270_,1,733,738,5,4,0,0,0
M,LF,5,125,1,2,LF270_,181,2,0,0,0,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,1,738,741,3,8,0,0,3
M,LF,5,125,1,2,LF270_,186,2,0,0,0,0,1,,111818 retrain,M,LF,5,125,1,2,LF270_,2,741,822,81,2,0,1,0
M,LF,5,125,1,2,LF270_,192,2,0,0,0,0,1,,111818 retrain,M,LF,5,125,1,2,LF270_,2,822,829,7,3,0,0,0
M,LF,5,125,1,2,LF270_,199,2,0,0,0,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,2,829,832,3,5,0,0,1
M,LF,5,125,1,2,LF270_,723,2,3,2,0,1,0,,111818 retrain,M,LF,5,125,1,2,LF270_,2,832,837,5,4,0,0,0
M,LF,5,125,1,2,LF270_,730,3,5,0,0,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,2,837,904,67,8,0,1,0
M,LF,5,125,1,2,LF270_,733,5,4,0,0,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,2,904,911,7,3,0,0,0
M,LF,5,125,1,2,LF270_,737,4,0,0,0,0,0,,111818 retrain,M,LF,5,125,1,2,LF270_,2,911,914,3,5,0,0,1
