Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF,5,72,2,3,LF152_,0,0,1,0,0,0,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,0,0,150,150,1,0,0,0
M,LF,5,72,2,3,LF152_,94,1,0,0,0,0,1,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,0,150,153,3,6,0,0,3
M,LF,5,72,2,3,LF152_,104,1,0,0,0,0,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,1,153,736,583,2,0,1,0
M,LF,5,72,2,3,LF152_,150,1,6,0,0,0,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,1,736,743,7,3,0,0,0
M,LF,5,72,2,3,LF152_,153,6,2,0,0,0,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,1,743,746,3,5,0,0,0
M,LF,5,72,2,3,LF152_,155,2,0,0,0,0,1,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,1,746,751,5,4,0,0,0
M,LF,5,72,2,3,LF152_,156,2,0,0,0,0,1,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,1,751,753,2,8,0,0,2
M,LF,5,72,2,3,LF152_,157,2,0,0,0,0,1,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,2,753,815,62,2,0,1,0
M,LF,5,72,2,3,LF152_,736,2,3,2,0,1,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,2,815,822,7,3,0,0,1
M,LF,5,72,2,3,LF152_,743,3,5,0,0,0,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,2,822,825,3,5,0,0,0
M,LF,5,72,2,3,LF152_,746,5,4,0,0,0,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,2,825,830,5,4,0,0,0
M,LF,5,72,2,3,LF152_,747,4,0,0,0,0,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,2,830,872,42,8,0,0,1
M,LF,5,72,2,3,LF152_,751,4,8,0,0,0,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,3,872,881,9,2,0,1,0
M,LF,5,72,2,3,LF152_,753,8,2,3,0,0,1,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,3,881,888,7,3,0,0,1
M,LF,5,72,2,3,LF152_,776,2,0,0,0,0,0,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,3,888,891,3,5,0,0,0
M,LF,5,72,2,3,LF152_,779,2,0,0,0,0,1,,061818_RETRAIN,M,LF,5,72,2,3,LF152_,3,891,896,5,4,0,0,0
