Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,YD,5,59,3,2,LF153_,0,0,1,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,0,0,150,150,1,0,0,0
M,YD,5,59,3,2,LF153_,125,1,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,0,150,153,3,6,0,0,2
M,YD,5,59,3,2,LF153_,148,1,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,1,153,790,637,2,0,1,0
M,YD,5,59,3,2,LF153_,150,1,6,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,1,790,797,7,3,0,0,0
M,YD,5,59,3,2,LF153_,153,6,2,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,1,797,800,3,5,0,0,0
M,YD,5,59,3,2,LF153_,192,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,1,800,805,5,4,0,0,0
M,YD,5,59,3,2,LF153_,207,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,1,805,835,30,8,0,0,7
M,YD,5,59,3,2,LF153_,584,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,2,835,1911,1076,2,0,1,0
M,YD,5,59,3,2,LF153_,586,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,2,1911,1918,7,3,0,0,0
M,YD,5,59,3,2,LF153_,790,2,3,2,0,1,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,2,1918,1921,3,5,0,0,1
M,YD,5,59,3,2,LF153_,797,3,5,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,2,1921,1926,5,4,0,0,0
M,YD,5,59,3,2,LF153_,799,5,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,2,1926,1979,53,8,0,0,2
M,YD,5,59,3,2,LF153_,800,5,4,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,3,1979,2560,581,2,0,1,0
M,YD,5,59,3,2,LF153_,805,4,8,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,3,2560,2567,7,3,0,0,0
M,YD,5,59,3,2,LF153_,835,8,2,3,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,3,2567,2570,3,5,0,0,1
M,YD,5,59,3,2,LF153_,836,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,3,2570,2575,5,4,0,0,0
M,YD,5,59,3,2,LF153_,902,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,3,2575,2671,96,8,0,0,7
M,YD,5,59,3,2,LF153_,950,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,4,2671,2939,268,2,0,1,0
M,YD,5,59,3,2,LF153_,957,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,4,2939,2946,7,3,0,0,0
M,YD,5,59,3,2,LF153_,1643,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,4,2946,2949,3,5,0,0,1
M,YD,5,59,3,2,LF153_,1648,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,4,2949,2954,5,4,0,0,0
M,YD,5,59,3,2,LF153_,1676,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,4,2954,3091,137,8,0,0,1
M,YD,5,59,3,2,LF153_,1678,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,5,3091,3193,102,2,0,1,0
M,YD,5,59,3,2,LF153_,1689,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,5,3193,3200,7,3,0,0,0
M,YD,5,59,3,2,LF153_,1710,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,5,3200,3203,3,5,0,0,0
M,YD,5,59,3,2,LF153_,1764,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,5,3203,3208,5,4,0,0,0
M,YD,5,59,3,2,LF153_,1911,2,3,2,0,1,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,5,3208,3214,6,8,0,0,2
M,YD,5,59,3,2,LF153_,1918,3,5,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,6,3214,3400,186,2,0,1,0
M,YD,5,59,3,2,LF153_,1919,5,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,6,3400,3407,7,3,0,0,0
M,YD,5,59,3,2,LF153_,1921,5,4,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,6,3407,3410,3,5,0,0,0
M,YD,5,59,3,2,LF153_,1925,4,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,6,3410,3415,5,4,0,0,0
M,YD,5,59,3,2,LF153_,1926,4,8,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,6,3415,3615,200,8,0,0,9
M,YD,5,59,3,2,LF153_,1951,8,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,7,3615,4556,941,2,0,1,0
M,YD,5,59,3,2,LF153_,1979,8,2,3,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,7,4556,4563,7,3,0,0,0
M,YD,5,59,3,2,LF153_,2001,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,7,4563,4566,3,5,0,0,0
M,YD,5,59,3,2,LF153_,2089,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,7,4566,4571,5,4,0,0,0
M,YD,5,59,3,2,LF153_,2560,2,3,2,0,1,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,7,4571,4574,3,8,0,0,1
M,YD,5,59,3,2,LF153_,2567,3,5,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,8,4574,5019,445,2,0,1,0
M,YD,5,59,3,2,LF153_,2570,5,4,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,8,5019,5026,7,3,0,0,0
M,YD,5,59,3,2,LF153_,2571,4,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,8,5026,5029,3,5,0,0,0
M,YD,5,59,3,2,LF153_,2575,4,8,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,8,5029,5034,5,4,0,0,0
M,YD,5,59,3,2,LF153_,2642,8,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,8,5034,5038,4,8,0,0,1
M,YD,5,59,3,2,LF153_,2671,8,2,3,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,9,5038,5071,33,2,0,1,0
M,YD,5,59,3,2,LF153_,2676,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,9,5071,5078,7,3,0,0,0
M,YD,5,59,3,2,LF153_,2677,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,9,5078,5081,3,5,0,0,0
M,YD,5,59,3,2,LF153_,2678,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,9,5081,5086,5,4,0,0,0
M,YD,5,59,3,2,LF153_,2679,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,9,5086,5161,75,8,0,0,1
M,YD,5,59,3,2,LF153_,2680,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,10,5161,5361,200,2,0,1,0
M,YD,5,59,3,2,LF153_,2681,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,10,5361,5368,7,3,0,0,0
M,YD,5,59,3,2,LF153_,2682,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,10,5368,5371,3,5,0,0,0
M,YD,5,59,3,2,LF153_,2683,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,10,5371,5376,5,4,0,0,0
M,YD,5,59,3,2,LF153_,2689,2,0,0,0,0,1,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,10,5376,5443,67,8,0,0,3
M,YD,5,59,3,2,LF153_,2691,2,0,0,0,0,0,,061118_RETRAIN,M,YD,5,59,3,2,LF153_,11,5443,7149,1706,2,0,1,0
