Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF,5,117,2,3,LF270_,0,0,1,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,0,0,150,150,1,0,0,0
M,LF,5,117,2,3,LF270_,150,1,6,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,0,150,153,3,6,0,0,0
M,LF,5,117,2,3,LF270_,153,6,2,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,1,153,337,184,2,0,1,0
M,LF,5,117,2,3,LF270_,337,2,3,2,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,1,337,344,7,3,0,0,0
M,LF,5,117,2,3,LF270_,344,3,5,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,1,344,347,3,5,0,0,0
M,LF,5,117,2,3,LF270_,347,5,4,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,1,347,352,5,4,0,0,0
M,LF,5,117,2,3,LF270_,352,4,8,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,1,352,354,2,8,0,0,3
M,LF,5,117,2,3,LF270_,354,8,2,3,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,2,354,639,285,2,0,1,0
M,LF,5,117,2,3,LF270_,365,2,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,2,639,646,7,3,0,0,0
M,LF,5,117,2,3,LF270_,404,2,0,0,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,2,646,649,3,5,0,0,0
M,LF,5,117,2,3,LF270_,434,2,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,2,649,654,5,4,0,0,0
M,LF,5,117,2,3,LF270_,508,2,0,0,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,2,654,658,4,8,0,0,2
M,LF,5,117,2,3,LF270_,522,2,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,658,1190,532,2,0,2,0
M,LF,5,117,2,3,LF270_,639,2,3,2,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1190,1197,7,3,0,0,0
M,LF,5,117,2,3,LF270_,646,3,5,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1197,1200,3,5,0,0,1
M,LF,5,117,2,3,LF270_,649,5,4,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1200,1205,5,4,0,0,0
M,LF,5,117,2,3,LF270_,654,4,8,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1205,1376,171,8,0,1,0
M,LF,5,117,2,3,LF270_,658,8,2,3,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1376,1383,7,3,0,0,0
M,LF,5,117,2,3,LF270_,668,2,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1383,1386,3,5,0,0,0
M,LF,5,117,2,3,LF270_,735,2,0,0,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1386,1391,5,4,0,0,0
M,LF,5,117,2,3,LF270_,750,2,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1391,1394,3,8,0,1,0
M,LF,5,117,2,3,LF270_,1190,2,3,2,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1394,1401,7,3,0,0,1
M,LF,5,117,2,3,LF270_,1192,3,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1401,1404,3,5,0,0,0
M,LF,5,117,2,3,LF270_,1194,3,0,0,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1404,1409,5,4,0,0,0
M,LF,5,117,2,3,LF270_,1197,3,5,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,3,1409,1426,17,8,0,0,1
M,LF,5,117,2,3,LF270_,1198,5,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,4,1426,1597,171,2,0,1,0
M,LF,5,117,2,3,LF270_,1200,5,4,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,4,1597,1604,7,3,0,0,0
M,LF,5,117,2,3,LF270_,1203,4,0,0,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,4,1604,1607,3,5,0,0,0
M,LF,5,117,2,3,LF270_,1205,4,8,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,4,1607,1612,5,4,0,0,1
M,LF,5,117,2,3,LF270_,1223,8,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,4,1612,2881,1269,8,0,0,1
M,LF,5,117,2,3,LF270_,1376,8,3,2,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,5,2881,3139,258,2,0,1,0
M,LF,5,117,2,3,LF270_,1383,3,5,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,5,3139,3146,7,3,0,0,0
M,LF,5,117,2,3,LF270_,1386,5,4,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,5,3146,3149,3,5,0,0,0
M,LF,5,117,2,3,LF270_,1388,4,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,5,3149,3154,5,4,0,0,0
M,LF,5,117,2,3,LF270_,1391,4,8,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,5,3154,3235,81,8,0,0,1
M,LF,5,117,2,3,LF270_,1394,8,3,2,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,6,3235,3658,423,2,0,1,0
M,LF,5,117,2,3,LF270_,1395,3,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,6,3658,3665,7,3,0,1,0
M,LF,5,117,2,3,LF270_,1401,3,5,0,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,6,3665,3668,3,5,0,0,0
M,LF,5,117,2,3,LF270_,1404,5,4,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,6,3668,3673,5,4,0,0,0
M,LF,5,117,2,3,LF270_,1409,4,8,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,6,3673,3686,13,8,0,0,1
M,LF,5,117,2,3,LF270_,1414,8,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,7,3686,3736,50,2,0,1,0
M,LF,5,117,2,3,LF270_,1426,8,2,3,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,7,3736,3743,7,3,0,0,0
M,LF,5,117,2,3,LF270_,1436,2,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,7,3743,3746,3,5,0,0,1
M,LF,5,117,2,3,LF270_,1597,2,3,2,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,7,3746,3751,5,4,0,0,0
M,LF,5,117,2,3,LF270_,1599,3,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,7,3751,3769,18,8,0,0,1
M,LF,5,117,2,3,LF270_,1604,3,5,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,8,3769,3796,27,2,0,1,0
M,LF,5,117,2,3,LF270_,1607,5,4,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,8,3796,3803,7,3,0,0,0
M,LF,5,117,2,3,LF270_,1612,4,8,0,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,8,3803,3806,3,5,0,0,0
M,LF,5,117,2,3,LF270_,1641,8,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,8,3806,3811,5,4,0,0,0
M,LF,5,117,2,3,LF270_,2881,8,2,3,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,8,3811,3815,4,8,0,1,0
M,LF,5,117,2,3,LF270_,2883,2,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,8,3815,3822,7,3,0,0,0
M,LF,5,117,2,3,LF270_,3139,2,3,2,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,8,3822,3825,3,5,0,0,0
M,LF,5,117,2,3,LF270_,3146,3,5,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,8,3825,3830,5,4,0,0,0
M,LF,5,117,2,3,LF270_,3147,5,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,8,3830,3879,49,8,0,0,1
M,LF,5,117,2,3,LF270_,3149,5,4,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,9,3879,3950,71,2,0,2,0
M,LF,5,117,2,3,LF270_,3154,4,8,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,9,3950,3957,7,3,0,0,0
M,LF,5,117,2,3,LF270_,3235,8,2,3,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,9,3957,3960,3,5,0,0,0
M,LF,5,117,2,3,LF270_,3255,2,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,9,3960,3965,5,4,0,0,0
M,LF,5,117,2,3,LF270_,3658,2,3,2,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,9,3965,3985,20,8,0,1,0
M,LF,5,117,2,3,LF270_,3661,3,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,9,3985,3992,7,3,0,0,0
M,LF,5,117,2,3,LF270_,3665,3,5,0,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,9,3992,3995,3,5,0,0,0
M,LF,5,117,2,3,LF270_,3668,5,4,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,9,3995,4000,5,4,0,0,1
M,LF,5,117,2,3,LF270_,3670,4,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,9,4000,4057,57,8,0,0,1
M,LF,5,117,2,3,LF270_,3673,4,8,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,10,4057,4066,9,2,0,1,0
M,LF,5,117,2,3,LF270_,3686,8,2,3,0,0,1,,111518 retrain,M,LF,5,117,2,3,LF270_,10,4066,4073,7,3,0,0,1
M,LF,5,117,2,3,LF270_,3700,2,0,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,10,4073,4076,3,5,0,0,0
M,LF,5,117,2,3,LF270_,3736,2,3,2,0,1,0,,111518 retrain,M,LF,5,117,2,3,LF270_,10,4076,4081,5,4,0,0,0
M,LF,5,117,2,3,LF270_,3743,3,5,0,0,0,0,,111518 retrain,M,LF,5,117,2,3,LF270_,10,4081,4105,24,8,0,0,1
