Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,KM,5,139,3,2,LF270_,0,0,1,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,0,0,150,150,1,0,0,0
M,KM,5,139,3,2,LF270_,150,1,6,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,0,150,153,3,6,1,0,5
M,KM,5,139,3,2,LF270_,153,6,2,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,1,153,2927,2774,2,0,2,0
M,KM,5,139,3,2,LF270_,160,2,0,0,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,1,2927,2934,7,3,0,0,0
M,KM,5,139,3,2,LF270_,176,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,1,2934,2937,3,5,0,0,0
M,KM,5,139,3,2,LF270_,501,2,0,0,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,1,2937,2942,5,4,0,0,0
M,KM,5,139,3,2,LF270_,503,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,1,2942,2970,28,8,0,0,2
M,KM,5,139,3,2,LF270_,656,2,0,0,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,2,2970,3448,478,2,0,1,0
M,KM,5,139,3,2,LF270_,657,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,2,3448,3455,7,3,0,0,0
M,KM,5,139,3,2,LF270_,844,2,0,0,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,2,3455,3458,3,5,0,0,0
M,KM,5,139,3,2,LF270_,859,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,2,3458,3463,5,4,0,0,1
M,KM,5,139,3,2,LF270_,1592,2,0,0,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,2,3463,3893,430,8,0,0,1
M,KM,5,139,3,2,LF270_,1593,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,3,3893,4168,275,2,0,1,0
M,KM,5,139,3,2,LF270_,1744,2,0,0,1,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,3,4168,4175,7,3,0,0,0
M,KM,5,139,3,2,LF270_,1760,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,3,4175,4178,3,5,0,0,0
M,KM,5,139,3,2,LF270_,2927,2,3,2,0,1,0,,112518 retrain,M,KM,5,139,3,2,LF270_,3,4178,4183,5,4,0,0,0
M,KM,5,139,3,2,LF270_,2928,3,0,0,0,1,0,,112518 retrain,M,KM,5,139,3,2,LF270_,3,4183,4239,56,8,0,0,1
M,KM,5,139,3,2,LF270_,2934,3,5,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,4,4239,4368,129,2,0,1,0
M,KM,5,139,3,2,LF270_,2937,5,4,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,4,4368,4375,7,3,0,0,0
M,KM,5,139,3,2,LF270_,2942,4,8,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,4,4375,4378,3,5,0,0,0
M,KM,5,139,3,2,LF270_,2947,8,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,4,4378,4383,5,4,0,0,0
M,KM,5,139,3,2,LF270_,2970,8,2,3,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,4,4383,4386,3,8,0,0,1
M,KM,5,139,3,2,LF270_,2971,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,5,4386,4455,69,2,0,1,0
M,KM,5,139,3,2,LF270_,2972,2,0,0,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,5,4455,4462,7,3,0,0,0
M,KM,5,139,3,2,LF270_,3000,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,5,4462,4465,3,5,0,0,0
M,KM,5,139,3,2,LF270_,3448,2,3,2,0,1,0,,112518 retrain,M,KM,5,139,3,2,LF270_,5,4465,4470,5,4,0,0,0
M,KM,5,139,3,2,LF270_,3453,3,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,5,4470,4507,37,8,0,0,2
M,KM,5,139,3,2,LF270_,3455,3,5,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,6,4507,4742,235,2,0,1,0
M,KM,5,139,3,2,LF270_,3458,5,4,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,6,4742,4749,7,3,0,0,1
M,KM,5,139,3,2,LF270_,3463,4,8,0,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,6,4749,4752,3,5,0,0,0
M,KM,5,139,3,2,LF270_,3484,8,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,6,4752,4757,5,4,0,0,0
M,KM,5,139,3,2,LF270_,3893,8,2,3,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,6,4757,4896,139,8,0,0,1
M,KM,5,139,3,2,LF270_,3899,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,7,4896,4923,27,2,0,1,0
M,KM,5,139,3,2,LF270_,4168,2,3,2,0,1,0,,112518 retrain,M,KM,5,139,3,2,LF270_,7,4923,4930,7,3,0,0,0
M,KM,5,139,3,2,LF270_,4175,3,5,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,7,4930,4933,3,5,0,0,0
M,KM,5,139,3,2,LF270_,4178,5,4,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,7,4933,4938,5,4,0,0,0
M,KM,5,139,3,2,LF270_,4183,4,8,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,7,4938,4950,12,8,0,0,1
M,KM,5,139,3,2,LF270_,4190,8,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,4950,5282,332,2,0,2,0
M,KM,5,139,3,2,LF270_,4239,8,2,3,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5282,5289,7,3,0,0,0
M,KM,5,139,3,2,LF270_,4278,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5289,5292,3,5,0,0,0
M,KM,5,139,3,2,LF270_,4368,2,3,2,0,1,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5292,5297,5,4,0,0,0
M,KM,5,139,3,2,LF270_,4375,3,5,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5297,5319,22,8,0,2,0
M,KM,5,139,3,2,LF270_,4378,5,4,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5319,5326,7,3,0,0,0
M,KM,5,139,3,2,LF270_,4380,4,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5326,5329,3,5,0,0,1
M,KM,5,139,3,2,LF270_,4383,4,8,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5329,5334,5,4,0,0,0
M,KM,5,139,3,2,LF270_,4386,8,2,3,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5334,5437,103,8,0,1,0
M,KM,5,139,3,2,LF270_,4409,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5437,5444,7,3,0,0,1
M,KM,5,139,3,2,LF270_,4455,2,3,2,0,1,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5444,5447,3,5,0,0,0
M,KM,5,139,3,2,LF270_,4462,3,5,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5447,5452,5,4,0,0,0
M,KM,5,139,3,2,LF270_,4464,5,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,8,5452,5538,86,8,0,0,1
M,KM,5,139,3,2,LF270_,4465,5,4,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,9,5538,5552,14,2,0,1,0
M,KM,5,139,3,2,LF270_,4470,4,8,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,9,5552,5559,7,3,0,0,1
M,KM,5,139,3,2,LF270_,4507,8,2,3,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,9,5559,5562,3,5,0,0,0
M,KM,5,139,3,2,LF270_,4526,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,9,5562,5567,5,4,0,0,0
M,KM,5,139,3,2,LF270_,4690,2,0,0,0,0,1,,112518 retrain,M,KM,5,139,3,2,LF270_,9,5567,5660,93,8,0,0,1
M,KM,5,139,3,2,LF270_,4693,2,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,10,5660,5745,85,2,0,1,0
M,KM,5,139,3,2,LF270_,4742,2,3,2,0,1,0,,112518 retrain,M,KM,5,139,3,2,LF270_,10,5745,5752,7,3,0,0,1
M,KM,5,139,3,2,LF270_,4746,3,0,0,0,0,0,,112518 retrain,M,KM,5,139,3,2,LF270_,10,5752,5755,3,5,0,0,0
