Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF-LD,5,47,0,2,LF152_,988,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1207,1212,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,993,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1212,1238,26,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1015,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1238,1245,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1025,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1245,1248,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1030,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1248,1253,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1032,3,5,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1253,1288,35,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1035,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1288,1295,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,1040,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1295,1298,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1061,8,2,3,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1298,1303,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1111,2,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1303,1344,41,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1112,2,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1344,1351,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1129,2,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1351,1354,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1140,2,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1354,1359,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1142,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,3,1359,1392,33,8,0,0,1
M,LF-LD,5,47,0,2,LF152_,1147,3,5,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,4,1392,1408,16,2,0,1,0
M,LF-LD,5,47,0,2,LF152_,1148,5,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,4,1408,1415,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,1149,5,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,4,1415,1418,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1150,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,4,1418,1423,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1155,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,4,1423,1483,60,8,0,0,1
M,LF-LD,5,47,0,2,LF152_,1188,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,5,1483,1492,9,2,0,1,0
M,LF-LD,5,47,0,2,LF152_,1197,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,5,1492,1499,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1204,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,5,1499,1502,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1207,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,5,1502,1507,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1209,4,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,5,1507,1508,1,8,0,0,1
M,LF-LD,5,47,0,2,LF152_,1212,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1508,1539,31,2,0,1,0
M,LF-LD,5,47,0,2,LF152_,1231,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1539,1546,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,1238,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1546,1549,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1245,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1549,1554,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1248,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1554,1587,33,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1250,4,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1587,1594,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1253,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1594,1597,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1288,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1597,1602,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1291,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1602,1627,25,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1295,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1627,1634,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1297,5,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,6,1634,1637,3,5,0,0,1
