Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,GGCMLF,5,145,0,1,LF270_,0,0,1,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,0,0,150,150,1,0,0,0
M,GGCMLF,5,145,0,1,LF270_,150,1,6,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,0,150,153,3,6,3,0,0
M,GGCMLF,5,145,0,1,LF270_,153,6,2,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,1,153,357,204,2,0,1,0
M,GGCMLF,5,145,0,1,LF270_,264,2,0,0,1,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,1,357,364,7,3,0,0,0
M,GGCMLF,5,145,0,1,LF270_,266,2,0,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,1,364,367,3,5,0,0,0
M,GGCMLF,5,145,0,1,LF270_,267,2,0,0,1,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,1,367,372,5,4,0,0,0
M,GGCMLF,5,145,0,1,LF270_,275,2,0,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,1,372,377,5,8,0,0,1
M,GGCMLF,5,145,0,1,LF270_,313,2,0,0,1,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,377,626,249,2,0,1,0
M,GGCMLF,5,145,0,1,LF270_,316,2,0,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,626,633,7,3,0,0,0
M,GGCMLF,5,145,0,1,LF270_,357,2,3,2,0,1,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,633,636,3,5,0,0,0
M,GGCMLF,5,145,0,1,LF270_,359,3,0,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,636,641,5,4,0,0,1
M,GGCMLF,5,145,0,1,LF270_,364,3,5,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,641,752,111,8,0,1,0
M,GGCMLF,5,145,0,1,LF270_,367,5,4,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,752,759,7,3,0,0,0
M,GGCMLF,5,145,0,1,LF270_,372,4,8,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,759,762,3,5,0,0,0
M,GGCMLF,5,145,0,1,LF270_,377,8,2,3,0,0,1,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,762,767,5,4,0,1,0
M,GGCMLF,5,145,0,1,LF270_,402,2,0,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,767,769,2,8,0,1,0
M,GGCMLF,5,145,0,1,LF270_,626,2,3,2,0,1,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,769,776,7,3,0,0,0
M,GGCMLF,5,145,0,1,LF270_,633,3,5,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,776,779,3,5,0,0,0
M,GGCMLF,5,145,0,1,LF270_,636,5,4,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,779,784,5,4,0,0,0
M,GGCMLF,5,145,0,1,LF270_,641,4,8,0,0,0,1,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,2,784,807,23,8,0,0,2
M,GGCMLF,5,145,0,1,LF270_,662,8,0,0,0,0,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,3,807,1410,603,2,0,1,0
M,GGCMLF,5,145,0,1,LF270_,752,8,3,2,0,1,0,,112718 retrain,M,GGCMLF,5,145,0,1,LF270_,3,1410,1417,7,3,0,0,0
