Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,KM,5,106,3,2,LF270_,0,0,1,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,0,0,150,150,1,0,0,0
M,KM,5,106,3,2,LF270_,104,1,0,0,0,0,1,,111018 retrain,M,KM,5,106,3,2,LF270_,0,150,153,3,6,1,0,0
M,KM,5,106,3,2,LF270_,108,1,0,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,1,153,605,452,2,0,1,0
M,KM,5,106,3,2,LF270_,138,1,0,0,0,0,1,,111018 retrain,M,KM,5,106,3,2,LF270_,1,605,612,7,3,0,0,0
M,KM,5,106,3,2,LF270_,140,1,0,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,1,612,615,3,5,0,0,0
M,KM,5,106,3,2,LF270_,144,1,0,0,0,0,1,,111018 retrain,M,KM,5,106,3,2,LF270_,1,615,620,5,4,0,0,0
M,KM,5,106,3,2,LF270_,145,1,0,0,0,0,1,,111018 retrain,M,KM,5,106,3,2,LF270_,1,620,632,12,8,0,0,1
M,KM,5,106,3,2,LF270_,150,1,6,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,2,632,1674,1042,2,0,1,0
M,KM,5,106,3,2,LF270_,153,6,2,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,2,1674,1681,7,3,0,0,0
M,KM,5,106,3,2,LF270_,160,2,0,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,2,1681,1684,3,5,0,0,0
M,KM,5,106,3,2,LF270_,510,2,0,0,1,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,2,1684,1689,5,4,0,0,0
M,KM,5,106,3,2,LF270_,512,2,0,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,2,1689,1699,10,8,0,0,2
M,KM,5,106,3,2,LF270_,605,2,3,2,0,1,0,,111018 retrain,M,KM,5,106,3,2,LF270_,3,1699,2501,802,2,0,1,0
M,KM,5,106,3,2,LF270_,607,3,0,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,3,2501,2508,7,3,0,0,0
M,KM,5,106,3,2,LF270_,612,3,5,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,3,2508,2511,3,5,0,0,0
M,KM,5,106,3,2,LF270_,615,5,4,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,3,2511,2516,5,4,0,1,0
M,KM,5,106,3,2,LF270_,620,4,8,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,3,2516,2525,9,8,0,0,3
M,KM,5,106,3,2,LF270_,632,8,2,3,0,0,1,,111018 retrain,M,KM,5,106,3,2,LF270_,4,2525,2975,450,2,0,1,0
M,KM,5,106,3,2,LF270_,659,2,0,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,4,2975,2982,7,3,0,0,0
M,KM,5,106,3,2,LF270_,1674,2,3,2,0,1,0,,111018 retrain,M,KM,5,106,3,2,LF270_,4,2982,2985,3,5,0,0,0
M,KM,5,106,3,2,LF270_,1681,3,5,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,4,2985,2990,5,4,0,0,1
M,KM,5,106,3,2,LF270_,1683,5,0,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,4,2990,3050,60,8,5,0,1
M,KM,5,106,3,2,LF270_,1684,5,4,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,5,3050,4262,1212,2,0,1,0
M,KM,5,106,3,2,LF270_,1689,4,8,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,5,4262,4269,7,3,0,0,0
M,KM,5,106,3,2,LF270_,1699,8,2,3,0,0,1,,111018 retrain,M,KM,5,106,3,2,LF270_,5,4269,4272,3,5,0,0,0
M,KM,5,106,3,2,LF270_,1710,2,0,0,0,0,1,,111018 retrain,M,KM,5,106,3,2,LF270_,5,4272,4277,5,4,0,0,0
M,KM,5,106,3,2,LF270_,1717,2,0,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,5,4277,4280,3,8,0,0,1
M,KM,5,106,3,2,LF270_,2501,2,3,2,0,1,0,,111018 retrain,M,KM,5,106,3,2,LF270_,6,4280,4765,485,2,0,1,0
M,KM,5,106,3,2,LF270_,2508,3,5,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,6,4765,4772,7,3,0,0,0
M,KM,5,106,3,2,LF270_,2509,5,0,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,6,4772,4775,3,5,0,0,0
M,KM,5,106,3,2,LF270_,2511,5,4,0,0,0,0,,111018 retrain,M,KM,5,106,3,2,LF270_,6,4775,4780,5,4,0,0,0
M,KM,5,106,3,2,LF270_,2516,4,8,0,0,1,0,,111018 retrain,M,KM,5,106,3,2,LF270_,6,4780,4795,15,8,0,1,0
