Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,GG,5,131,3,2,LF270_,0,0,1,0,0,0,0,,112118 retrain,M,GG,5,131,3,2,LF270_,0,0,150,150,1,0,0,0
M,GG,5,131,3,2,LF270_,150,1,6,0,0,0,0,,112118 retrain,M,GG,5,131,3,2,LF270_,0,150,153,3,6,0,0,4
M,GG,5,131,3,2,LF270_,153,6,2,0,0,0,0,,112118 retrain,M,GG,5,131,3,2,LF270_,1,153,1484,1331,2,0,2,0
M,GG,5,131,3,2,LF270_,799,2,0,0,0,0,1,,112118 retrain,M,GG,5,131,3,2,LF270_,1,1484,1491,7,3,0,0,0
M,GG,5,131,3,2,LF270_,818,2,0,0,0,0,0,,112118 retrain,M,GG,5,131,3,2,LF270_,1,1491,1494,3,5,0,0,0
M,GG,5,131,3,2,LF270_,1226,2,0,0,0,0,1,,112118 retrain,M,GG,5,131,3,2,LF270_,1,1494,1499,5,4,0,0,0
M,GG,5,131,3,2,LF270_,1231,2,0,0,0,0,0,,112118 retrain,M,GG,5,131,3,2,LF270_,1,1499,1505,6,8,0,1,0
M,GG,5,131,3,2,LF270_,1350,2,0,0,0,0,1,,112118 retrain,M,GG,5,131,3,2,LF270_,1,1505,1512,7,3,0,0,0
M,GG,5,131,3,2,LF270_,1356,2,0,0,0,0,0,,112118 retrain,M,GG,5,131,3,2,LF270_,1,1512,1515,3,5,0,0,1
M,GG,5,131,3,2,LF270_,1375,2,0,0,0,0,1,,112118 retrain,M,GG,5,131,3,2,LF270_,1,1515,1520,5,4,0,0,0
M,GG,5,131,3,2,LF270_,1377,2,0,0,0,0,0,,112118 retrain,M,GG,5,131,3,2,LF270_,1,1520,1676,156,8,2,0,27
M,GG,5,131,3,2,LF270_,1484,2,3,2,0,1,0,,112118 retrain,M,GG,5,131,3,2,LF270_,2,1676,4071,2395,2,0,2,0
