Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,
M,LF,5,43,2,1,LF152_,674,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1772,1779,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,675,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1779,1782,3,5,0,1,1,
M,LF,5,43,2,1,LF152_,835,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1782,1787,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,839,3,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1787,1818,31,8,0,1,0,
M,LF,5,43,2,1,LF152_,842,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1818,1825,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,845,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1825,1828,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,850,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1828,1833,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,870,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1833,1977,144,8,0,2,0,
M,LF,5,43,2,1,LF152_,873,3,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1977,1984,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,877,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1984,1987,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,880,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1987,1992,5,4,1,0,0,
M,LF,5,43,2,1,LF152_,883,4,0,0,1,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,1992,2117,125,8,0,1,0,
M,LF,5,43,2,1,LF152_,885,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,2117,2124,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,890,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,2124,2127,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,1223,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,2127,2132,5,4,0,0,1,
M,LF,5,43,2,1,LF152_,1230,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,3,2132,2202,70,8,0,0,2,
