Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,KM,5,133,1,3,LF270_,0,0,1,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,0,0,150,150,1,0,0,0
M,KM,5,133,1,3,LF270_,150,1,6,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,0,150,153,3,6,0,0,2
M,KM,5,133,1,3,LF270_,153,6,2,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,1,153,712,559,2,0,2,0
M,KM,5,133,1,3,LF270_,302,2,0,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,1,712,719,7,3,0,0,0
M,KM,5,133,1,3,LF270_,312,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,1,719,722,3,5,0,0,0
M,KM,5,133,1,3,LF270_,397,2,0,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,1,722,727,5,4,0,0,0
M,KM,5,133,1,3,LF270_,416,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,1,727,733,6,8,0,0,3
M,KM,5,133,1,3,LF270_,712,2,3,2,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,2,733,1294,561,2,0,1,0
M,KM,5,133,1,3,LF270_,716,3,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,2,1294,1301,7,3,0,0,0
M,KM,5,133,1,3,LF270_,718,3,0,0,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,2,1301,1304,3,5,0,0,0
M,KM,5,133,1,3,LF270_,719,3,5,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,2,1304,1309,5,4,0,0,1
M,KM,5,133,1,3,LF270_,722,5,4,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,2,1309,1389,80,8,1,0,1
M,KM,5,133,1,3,LF270_,727,4,8,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,3,1389,1799,410,2,0,2,0
M,KM,5,133,1,3,LF270_,733,8,2,3,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,3,1799,1806,7,3,0,0,0
M,KM,5,133,1,3,LF270_,743,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,3,1806,1809,3,5,0,0,0
M,KM,5,133,1,3,LF270_,830,2,0,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,3,1809,1814,5,4,0,0,0
M,KM,5,133,1,3,LF270_,841,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,3,1814,1854,40,8,0,0,3
M,KM,5,133,1,3,LF270_,941,2,0,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,4,1854,2146,292,2,0,1,0
M,KM,5,133,1,3,LF270_,957,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,4,2146,2153,7,3,0,0,0
M,KM,5,133,1,3,LF270_,1294,2,3,2,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,4,2153,2156,3,5,0,0,2
M,KM,5,133,1,3,LF270_,1298,3,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,4,2156,2161,5,4,0,0,0
M,KM,5,133,1,3,LF270_,1301,3,5,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,4,2161,2232,71,8,0,1,0
M,KM,5,133,1,3,LF270_,1304,5,4,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,4,2232,2239,7,3,0,0,0
M,KM,5,133,1,3,LF270_,1309,4,8,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,4,2239,2242,3,5,0,0,1
M,KM,5,133,1,3,LF270_,1319,8,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,4,2242,2247,5,4,0,0,0
M,KM,5,133,1,3,LF270_,1389,8,2,3,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,4,2247,2379,132,8,0,0,1
M,KM,5,133,1,3,LF270_,1401,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2379,2433,54,2,0,1,0
M,KM,5,133,1,3,LF270_,1698,2,0,0,1,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2433,2440,7,3,0,0,0
M,KM,5,133,1,3,LF270_,1742,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2440,2443,3,5,0,0,1
M,KM,5,133,1,3,LF270_,1799,2,3,2,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2443,2448,5,4,0,0,0
M,KM,5,133,1,3,LF270_,1801,3,0,0,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2448,2504,56,8,0,1,0
M,KM,5,133,1,3,LF270_,1806,3,5,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2504,2511,7,3,0,0,0
M,KM,5,133,1,3,LF270_,1809,5,4,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2511,2514,3,5,0,0,1
M,KM,5,133,1,3,LF270_,1814,4,8,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2514,2519,5,4,0,0,0
M,KM,5,133,1,3,LF270_,1835,8,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2519,2583,64,8,0,1,0
M,KM,5,133,1,3,LF270_,1854,8,2,3,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2583,2590,7,3,0,0,0
M,KM,5,133,1,3,LF270_,1865,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2590,2593,3,5,0,0,0
M,KM,5,133,1,3,LF270_,1955,2,0,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2593,2598,5,4,0,0,0
M,KM,5,133,1,3,LF270_,1966,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,5,2598,2618,20,8,0,0,2
M,KM,5,133,1,3,LF270_,2058,2,0,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,6,2618,2829,211,2,0,1,0
M,KM,5,133,1,3,LF270_,2080,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,6,2829,2836,7,3,0,0,0
M,KM,5,133,1,3,LF270_,2146,2,3,2,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,6,2836,2839,3,5,0,0,0
M,KM,5,133,1,3,LF270_,2150,3,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,6,2839,2844,5,4,0,0,0
M,KM,5,133,1,3,LF270_,2153,3,5,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,6,2844,2850,6,8,0,0,1
M,KM,5,133,1,3,LF270_,2156,5,4,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,7,2850,2994,144,2,0,1,0
M,KM,5,133,1,3,LF270_,2157,4,0,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,7,2994,3001,7,3,0,0,0
M,KM,5,133,1,3,LF270_,2158,4,0,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,7,3001,3004,3,5,0,0,0
M,KM,5,133,1,3,LF270_,2161,4,8,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,7,3004,3009,5,4,0,0,0
M,KM,5,133,1,3,LF270_,2179,8,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,7,3009,3014,5,8,0,0,1
M,KM,5,133,1,3,LF270_,2232,8,3,2,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,8,3014,3073,59,2,0,1,0
M,KM,5,133,1,3,LF270_,2236,3,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,8,3073,3080,7,3,0,0,0
M,KM,5,133,1,3,LF270_,2239,3,5,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,8,3080,3083,3,5,0,0,0
M,KM,5,133,1,3,LF270_,2242,5,4,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,8,3083,3088,5,4,0,0,0
M,KM,5,133,1,3,LF270_,2247,4,8,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,8,3088,3091,3,8,0,0,1
M,KM,5,133,1,3,LF270_,2267,8,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,9,3091,3148,57,2,0,1,0
M,KM,5,133,1,3,LF270_,2379,8,2,3,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,9,3148,3155,7,3,0,0,0
M,KM,5,133,1,3,LF270_,2383,2,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,9,3155,3158,3,5,0,0,0
M,KM,5,133,1,3,LF270_,2433,2,3,2,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,9,3158,3163,5,4,0,0,0
M,KM,5,133,1,3,LF270_,2437,3,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,9,3163,3166,3,8,0,0,1
M,KM,5,133,1,3,LF270_,2440,3,5,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,10,3166,3225,59,2,0,1,0
M,KM,5,133,1,3,LF270_,2443,5,4,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,10,3225,3232,7,3,0,0,0
M,KM,5,133,1,3,LF270_,2448,4,8,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,10,3232,3235,3,5,0,0,1
M,KM,5,133,1,3,LF270_,2463,8,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,10,3235,3240,5,4,0,0,0
M,KM,5,133,1,3,LF270_,2504,8,3,2,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,10,3240,3289,49,8,0,1,0
M,KM,5,133,1,3,LF270_,2509,3,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,10,3289,3296,7,3,0,0,0
M,KM,5,133,1,3,LF270_,2511,3,5,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,10,3296,3299,3,5,0,0,0
M,KM,5,133,1,3,LF270_,2514,5,4,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,10,3299,3304,5,4,0,0,0
M,KM,5,133,1,3,LF270_,2517,4,0,0,0,0,1,,112218 retrain,M,KM,5,133,1,3,LF270_,10,3304,3333,29,8,0,0,1
M,KM,5,133,1,3,LF270_,2519,4,8,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,11,3333,3374,41,2,0,1,0
M,KM,5,133,1,3,LF270_,2537,8,0,0,0,0,0,,112218 retrain,M,KM,5,133,1,3,LF270_,11,3374,3381,7,3,0,0,0
M,KM,5,133,1,3,LF270_,2583,8,3,2,0,1,0,,112218 retrain,M,KM,5,133,1,3,LF270_,11,3381,3384,3,5,0,0,1
