Subject,Group,Effort,Criteria met_total session,NP in response state_total session,Total lever presses in active LP_total session,Total inactive_total session,criteria met/Total LP
Control 13,Control,16LP,0,46,10,1,0
Control 14,Control,16LP,5,119,93,4,0.053763441
Subjugated 1,Subjugated,16LP,3,18,51,9,0.058823529
Subjugated 2,Subjugated,16LP,0,39,10,4,0
Subjugated 3,Subjugated,16LP,4,75,69,6,0.057971014
Subjugated 4,Subjugated,16LP,0,24,6,0,0
Subjugated 5,Subjugated,16LP,1,54,30,1,0.033333333
Subjugated 6,Subjugated,16LP,1,30,16,10,0.0625
Subjugated 7,Subjugated,16LP,2,60,38,9,0.052631579
Subjugated 8,Subjugated,16LP,2,15,44,4,0.045454545
Subjugated 9,Subjugated,16LP,0,58,9,3,0
Subjugated 10,Subjugated,16LP,1,9,22,5,0.045454545
Subjugated 11,Subjugated,16LP,0,7,11,2,0
Subjugated 12,Subjugated,16LP,3,22,52,6,0.057692308
Subjugated 13,Subjugated,16LP,2,152,45,15,0.044444444
Subjugated 14,Subjugated,16LP,0,11,11,5,0
