"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",42,16,19.1842105263158,70,53
"2","LF153",12,2,5.53333333333333,24,13
"3","LF154",4,2,4.2,31,5
"4","LF155",11,1,68.6625,19,12
"5","LF156",31,13,6.34,36,45
"6","LF157",8,14,8.2,22,8
"7","LF160",5,1,1.9,19,6
"8","LF161",8,1,1.37142857142857,18,11
"9","LF162",3,0,2.2,19,3
"10","LF163",4,0,6.9,17,5
"11","LF164",20,8,2.80588235294118,32,24
"12","LF165",12,11,9.66666666666667,42,13
"13","LF166",4,4,3.825,26,4
"14","LF167",28,3,30.7125,26,43
