"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",54,5,3.06363636363636,63,63
"2","LF271",62,6,5.63611111111111,23,73
"3","LF280",121,4,2.084,6,129
"4","LF281",21,2,5.93333333333333,32,26
"5","LF282",199,2,1.7325,13,237
"6","LF283",15,1,22.8615384615385,24,16
"7","LF284",159,16,2.19529411764706,4,183
"8","LF285",1,0,2,38,2
"9","LF286",91,12,3.34545454545455,19,105
"10","LF287",94,3,2.72127659574468,7,132
"11","LF288",18,8,10.47,28,21
"12","LF289",204,1,2.01746031746032,4,230
"13","LF290",123,3,3.47083333333333,10,144
"14","LF291",83,0,3.30526315789474,12,102
