"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",53,11,4.21707317073171,23,60
"2","LF271",82,3,9.7,14,88
"3","LF280",81,5,3.01351351351351,2,106
"4","LF281",3,2,6.2,60,4
"5","LF282",163,4,1.86444444444444,7,220
"6","LF283",7,1,223.725,5,8
"7","LF284",125,6,1.38703703703704,11,151
"8","LF285",2,1,1.3,16,3
"9","LF286",99,3,3.04230769230769,7,115
"10","LF287",103,4,3.50892857142857,7,155
"11","LF288",12,5,46.7,28,15
"12","LF289",132,0,5.28571428571429,8,151
"13","LF290",105,3,5.57321428571429,19,126
"14","LF291",94,4,9.80740740740741,13,99
