"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",96,2,3.42894736842105,8,103
"2","LF153",18,1,3.4,22,21
"3","LF154",15,0,48.8285714285714,18,17
"4","LF155",15,1,2.45714285714286,28,19
"5","LF156",23,7,7.3,45,41
"6","LF157",11,6,36.9857142857143,23,12
"7","LF160",4,0,2.85,19,6
"8","LF161",21,0,4.71111111111111,20,29
"9","LF162",3,2,1.1,33,3
"10","LF163",4,4,7.325,12,6
"11","LF164",20,11,2.10526315789474,23,22
"12","LF165",14,10,2.52727272727273,42,19
"13","LF166",94,5,3.46037735849057,8,108
"14","LF167",10,0,19.3777777777778,22,13
