"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",54,1,7.14736842105263,10,68
"2","LF271",28,11,4.35217391304348,18,30
"3","LF280",84,3,3.59756097560976,10,86
"4","LF281",6,3,2.96666666666667,28,10
"5","LF282",186,1,1.48852459016393,12,222
"6","LF283",7,10,40.7,7,12
"7","LF284",94,13,3.16470588235294,11,139
"8","LF285",2,1,0.75,16,2
"9","LF286",81,10,3.12777777777778,13,95
"10","LF287",37,5,2.36785714285714,10,58
"11","LF288",7,7,5.7,19,10
"12","LF289",188,4,2.872,4,204
"13","LF290",53,6,2.84827586206897,30,80
"14","LF291",41,2,3.172,22,44
