"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",84,2,5.64516129032258,19,91
"2","LF153",2,1,2.3,21,2
"3","LF154",8,0,1.9125,26,9
"4","LF155",10,0,6.975,21,12
"5","LF156",47,9,3.921875,45,60
"6","LF157",5,0,4.02,11,5
"7","LF160",3,4,0.566666666666667,116,3
"8","LF161",3,1,1.8,8,3
"9","LF162",6,4,2.06666666666667,5,7
"10","LF163",4,3,1.125,21,4
"11","LF164",45,11,3.76410256410256,21,66
"12","LF165",21,9,8.78,62,24
"13","LF166",86,1,3.42068965517241,11,98
"14","LF167",1,1,0.4,17,2
