"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",84,2,5.46935483870968,11,95
"2","LF153",10,3,2.93,27,10
"3","LF154",9,4,17.8875,58,13
"4","LF155",19,0,3.05882352941176,60,22
"5","LF156",44,1,3.26764705882353,35,59
"6","LF157",86,8,2.21363636363636,36,129
"7","LF160",16,5,5.87142857142857,15,18
"8","LF161",15,5,2.25714285714286,17,20
"9","LF162",14,1,4.45384615384615,22,15
"10","LF163",6,3,2.88333333333333,10,8
"11","LF164",15,1,2.04,27,19
"12","LF165",11,7,35.6166666666667,43,11
"13","LF166",89,4,4.42765957446808,9,116
"14","LF167",52,10,6.52352941176471,23,78
