"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",120,8,3.69333333333333,15,133
"2","LF271",78,7,3.72162162162162,9,89
"3","LF280",71,6,5.4025,10,77
"4","LF281",4,2,1.675,47,6
"5","LF282",176,3,1.73918918918919,11,231
"6","LF283",66,6,5.38,9,69
"7","LF284",154,7,2.06785714285714,7,182
"8","LF285",1,0,2.5,16,1
"9","LF286",87,16,5.99649122807017,13,105
"10","LF287",76,3,3.62692307692308,5,106
"11","LF288",66,1,11.1710526315789,21,77
"12","LF289",187,2,2.96805555555556,4,226
"13","LF290",147,5,2.85957446808511,3,162
"14","LF291",94,2,3.70645161290323,1,103
