"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",122,3,3.29107142857143,11,131
"2","LF271",58,2,3.104,23,68
"3","LF280",46,6,6.67777777777778,4,53
"4","LF281",11,1,24.7714285714286,29,12
"5","LF282",203,0,1.46851851851852,10,245
"6","LF283",16,3,44.8,1,18
"7","LF284",131,4,8.38076923076923,5,149
"8","LF285",7,0,6.07142857142857,10,8
"9","LF286",40,2,3.975,27,46
"10","LF287",49,8,3.0551724137931,6,71
"11","LF288",48,5,5.76551724137931,17,53
"12","LF289",178,0,2.99710144927536,8,196
"13","LF290",115,7,4.96666666666667,4,140
"14","LF291",44,3,3.75714285714286,28,48
