"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",101,3,10.5590909090909,16,112
"2","LF153",11,2,1.62727272727273,14,14
"3","LF154",10,1,26.2857142857143,20,13
"4","LF155",8,0,3.78571428571429,16,8
"5","LF156",48,0,2.92,10,54
"6","LF157",18,5,4.92,43,23
"7","LF160",9,0,4.075,14,10
"8","LF161",13,0,1.61666666666667,15,13
"9","LF162",4,2,1.025,10,4
"10","LF163",14,0,1.76923076923077,16,15
"11","LF164",34,15,5.03846153846154,12,51
"12","LF165",7,0,33.0571428571429,11,7
"13","LF166",68,3,3.95882352941176,11,80
"14","LF167",8,1,36.0166666666667,9,12
