"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",85,0,5.77321428571429,7,108
"2","LF271",67,6,4.62926829268293,17,75
"3","LF280",88,5,2.62727272727273,4,107
"4","LF281",6,2,10.1,27,7
"5","LF282",38,17,1.95714285714286,8,52
"6","LF283",28,9,23.5842105263158,6,32
"7","LF284",141,18,4.31714285714286,15,178
"8","LF285",3,0,1.06666666666667,6,3
"9","LF286",114,10,3.44666666666667,10,135
"10","LF287",62,13,3.33548387096774,8,86
"11","LF288",14,7,39.2222222222222,22,21
"12","LF289",187,0,3.1,21,207
"13","LF290",126,3,4.23103448275862,22,150
"14","LF291",43,2,8.58,7,48
