"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",22,4,3.91666666666667,12,28
"2","LF271",66,4,9.88292682926829,18,77
"3","LF280",61,7,4.3,16,81
"4","LF281",8,5,3.63333333333333,38,11
"5","LF282",186,8,2.14714285714286,20,224
"6","LF283",8,0,10.2625,8,8
"7","LF284",162,14,1.93064516129032,9,206
"8","LF285",16,1,2,19,17
"9","LF286",29,12,11.0058823529412,18,41
"10","LF287",47,2,5.00384615384615,10,67
"11","LF288",16,21,26.62,57,22
"12","LF289",192,0,3.071875,3,236
"13","LF290",100,6,5.184,16,115
"14","LF291",92,0,2.83714285714286,9,106
