"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",96,4,4.52307692307692,9,99
"2","LF153",31,3,3.03461538461538,19,37
"3","LF154",0,0,NA,50,0
"4","LF155",19,1,1.85,65,22
"5","LF156",18,0,3.13333333333333,18,23
"6","LF157",8,2,1.38,26,13
"7","LF160",6,1,0.72,13,6
"8","LF161",21,10,3.3,27,27
"9","LF162",18,3,2.07857142857143,91,20
"10","LF163",6,0,2.98,15,11
"11","LF164",41,5,3.96129032258065,54,65
"12","LF165",9,5,2.225,89,10
"13","LF166",62,7,3.33947368421053,8,77
"14","LF167",17,0,2.20625,44,27
