"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",85,1,5.08823529411765,30,90
"2","LF153",12,1,3.54545454545455,35,16
"3","LF154",16,3,17.6363636363636,23,22
"4","LF155",4,0,3.66666666666667,25,4
"5","LF156",21,5,13.09,32,29
"6","LF157",5,0,1.22,25,5
"7","LF160",3,0,3.86666666666667,73,3
"8","LF161",12,2,2.37272727272727,20,15
"9","LF162",9,2,21.84,20,11
"10","LF163",9,1,11.3,9,9
"11","LF164",27,10,4.41818181818182,46,41
"12","LF165",13,3,32.6142857142857,56,14
"13","LF166",98,4,9.41176470588235,7,115
"14","LF167",15,4,5.43333333333333,13,19
