"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",122,3,8.3962962962963,16,133
"2","LF153",28,4,8.01904761904762,17,32
"3","LF154",4,1,2.85,37,6
"4","LF155",12,1,1.33636363636364,22,13
"5","LF156",55,2,4.32105263157895,21,74
"6","LF157",74,2,3.75813953488372,13,80
"7","LF160",5,4,3.56,17,5
"8","LF161",15,0,2.00714285714286,33,17
"9","LF162",7,0,4.25714285714286,24,8
"10","LF163",15,0,1.92142857142857,20,15
"11","LF164",68,0,2.49574468085106,38,86
"12","LF165",14,8,4.91428571428571,37,15
"13","LF166",80,0,3.64871794871795,8,95
"14","LF167",11,0,5.4,13,14
