"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",44,3,3.72647058823529,19,50
"2","LF271",62,5,2.11923076923077,18,80
"3","LF280",96,0,2.93333333333333,8,106
"4","LF281",2,3,3.8,65,2
"5","LF282",171,2,1.845,6,209
"6","LF283",51,2,8.76969696969697,14,55
"7","LF284",157,14,2.41060606060606,12,178
"8","LF285",3,0,2.83333333333333,38,3
"9","LF286",52,8,2.44857142857143,29,66
"10","LF287",57,1,2.7875,5,77
"11","LF288",6,15,38.36,65,11
"12","LF289",177,0,3.09268292682927,7,197
"13","LF290",110,1,4.77,7,142
"14","LF291",85,2,3.9,1,89
