"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",18,7,6,66,18
"2","LF153",6,0,6.76,27,7
"3","LF154",10,1,5.36666666666667,77,12
"4","LF155",14,3,2.6,15,18
"5","LF156",6,0,2.16666666666667,33,6
"6","LF157",14,6,4.63333333333333,30,19
"7","LF160",3,1,2.6,11,3
"8","LF161",12,2,3.99,20,13
"9","LF162",2,5,1.55,20,2
"10","LF163",8,0,2.1875,19,14
"11","LF164",32,16,8.70454545454546,12,41
"12","LF165",17,8,22.9857142857143,121,22
"13","LF166",92,2,3.49117647058824,12,102
"14","LF167",14,0,0.738461538461539,113,17
