"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",94,8,3.04166666666667,26,112
"2","LF153",16,0,3.08666666666667,92,22
"3","LF154",6,4,1.52,74,6
"4","LF155",12,5,13.375,26,13
"5","LF156",79,1,3.43620689655172,34,103
"6","LF157",40,10,2.31666666666667,59,54
"7","LF160",9,1,1.44444444444444,57,11
"8","LF161",8,1,3.425,7,8
"9","LF162",6,4,3.68,16,7
"10","LF163",6,0,0.62,16,8
"11","LF164",21,5,23.14375,11,24
"12","LF165",17,0,3.21875,32,18
"13","LF166",113,3,5.65882352941177,4,130
"14","LF167",20,3,1.27777777777778,54,26
