"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",53,5,2.32380952380952,43,62
"2","LF271",68,0,10.8857142857143,12,75
"3","LF280",98,4,2.646,5,114
"4","LF281",9,5,29.75,45,13
"5","LF282",145,3,2.14935064935065,24,193
"6","LF283",36,4,5.64166666666667,13,39
"7","LF284",93,6,2.3625,15,109
"8","LF285",13,1,20.2583333333333,33,16
"9","LF286",88,1,5.12391304347826,12,109
"10","LF287",59,2,4.8,25,76
"11","LF288",17,3,2.35555555555556,21,23
"12","LF289",140,1,3.27118644067797,33,161
"13","LF290",103,9,3.796,12,128
"14","LF291",105,2,2.44583333333333,15,114
