,Subject,total_correct,total_inactiveLP,time_np,NP_responsestate,TotalA2
1,LF153,12,4,3.283333333,35,14
2,LF155,8,2,0.9125,22,8
3,LF157,16,4,65.32857143,16,21
4,LF161,39,10,6.646428571,22,45
5,LF163,14,5,2.272727273,23,17
6,LF165,8,5,2.416666667,43,11
7,LF167,60,4,2.693023256,38,89
8,LF152,77,1,2.197674419,26,87
9,LF154,6,2,1.666666667,37,8
10,LF156,23,4,3.021052632,43,33
11,LF160,2,0,1.9,121,3
12,LF162,3,6,2.966666667,19,4
13,LF164,6,2,5.26,30,10
14,LF166,90,0,2.074285714,40,105
