"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",97,5,2.13488372093023,13,114
"2","LF153",11,1,4.32,21,11
"3","LF154",1,0,0.7,204,1
"4","LF155",8,4,1.08333333333333,33,15
"5","LF156",54,1,1.93333333333333,45,75
"6","LF157",18,13,22.51,23,23
"7","LF160",3,7,1.1,15,3
"8","LF161",4,38,4.625,8,4
"9","LF162",9,0,3.97142857142857,32,9
"10","LF163",6,4,2.15,31,6
"11","LF164",11,21,8.3,26,13
"12","LF165",10,5,30.3166666666667,48,12
"13","LF166",114,3,2.72881355932203,18,155
"14","LF167",15,1,67.375,19,21
