"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",52,9,6.17857142857143,6,68
"2","LF271",69,5,9.075,10,78
"3","LF280",62,1,3.488,2,70
"4","LF281",7,3,6.7,48,9
"5","LF282",172,0,2.11029411764706,9,247
"6","LF283",100,4,3.97833333333333,18,110
"7","LF284",154,6,2.06578947368421,10,177
"8","LF285",0,0,NA,21,0
"9","LF286",65,14,4.67567567567568,13,73
"10","LF287",69,3,3.52553191489362,14,84
"11","LF288",20,12,13.5583333333333,17,27
"12","LF289",209,1,3.34098360655738,9,227
"13","LF290",55,8,4.71785714285714,11,66
"14","LF291",69,8,7.46551724137931,8,80
