"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",86,9,3.92258064516129,7,99
"2","LF271",25,10,5.52222222222222,34,31
"3","LF280",48,9,3.80833333333333,6,56
"4","LF281",10,5,7.42857142857143,35,10
"5","LF282",183,1,1.6474358974359,6,224
"6","LF283",4,11,4.4,67,5
"7","LF284",167,9,1.4967032967033,9,203
"8","LF285",13,1,1.15384615384615,21,15
"9","LF286",24,7,3.37777777777778,21,29
"10","LF287",81,0,2.59791666666667,4,114
"11","LF288",12,8,21.2375,23,13
"12","LF289",175,1,2.10384615384615,5,206
"13","LF290",97,2,3.14634146341463,8,126
"14","LF291",28,0,3.37391304347826,52,30
