"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",70,13,4.82333333333333,17,89
"2","LF153",12,0,1.68181818181818,24,12
"3","LF154",10,0,1.5875,28,12
"4","LF155",7,0,1.62857142857143,46,9
"5","LF156",18,4,9.6,23,19
"6","LF157",19,15,12.4666666666667,61,27
"7","LF160",6,0,1.4,17,6
"8","LF161",14,15,2.36153846153846,9,18
"9","LF162",9,0,5.71428571428571,12,11
"10","LF163",11,2,1.72,68,14
"11","LF164",18,30,5.42142857142857,21,23
"12","LF165",14,2,10.43,77,18
"13","LF166",107,1,3.14905660377358,6,134
"14","LF167",23,3,2.33333333333333,51,30
