"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",43,7,2.82571428571429,7,52
"2","LF271",29,3,4.20588235294118,15,33
"3","LF280",69,3,4.33428571428571,10,87
"4","LF281",10,4,48.925,46,13
"5","LF282",156,3,1.76393442622951,7,204
"6","LF283",26,0,6.76818181818182,13,28
"7","LF284",87,8,7.62391304347826,10,96
"8","LF285",8,0,35.7714285714286,29,11
"9","LF286",97,2,4.92777777777778,12,113
"10","LF287",52,4,4.296875,9,66
"11","LF288",9,7,2.18571428571429,44,10
"12","LF289",119,7,5.17321428571429,12,148
"13","LF290",113,0,3.32361111111111,17,140
"14","LF291",8,1,10.55,6,11
