"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",16,3,5.97777777777778,32,21
"2","LF271",34,34,2.08636363636364,20,39
"3","LF280",102,4,15.5129032258065,13,108
"4","LF281",12,3,9.075,43,17
"5","LF282",169,0,2.6984126984127,8,215
"6","LF283",20,3,2.18666666666667,3,22
"7","LF284",101,0,1.94509803921569,6,132
"8","LF285",5,0,4.475,18,5
"9","LF286",78,16,2.97560975609756,17,85
"10","LF287",41,5,16.66,5,63
"11","LF288",14,0,29.51,14,22
"12","LF289",200,1,2.52647058823529,15,228
"13","LF290",72,2,3.74324324324324,10,85
"14","LF291",59,2,3.78055555555556,24,62
