"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",83,1,4.04,14,95
"2","LF271",78,4,8.97441860465116,19,92
"3","LF280",95,0,2.84883720930233,12,240
"4","LF281",8,3,35.04,118,10
"5","LF282",140,2,1.79038461538462,15,346
"6","LF283",9,5,13.4,42,11
"7","LF284",161,2,2.17619047619048,6,218
"8","LF285",3,1,1.53333333333333,26,3
"9","LF286",43,1,4.51034482758621,32,60
"10","LF287",78,4,2.39803921568627,14,106
"11","LF288",9,7,9.02857142857143,22,12
"12","LF289",158,0,2.8125,3,173
"13","LF290",145,3,4.74074074074074,14,171
"14","LF291",63,1,10.8173913043478,7,71
