Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,,Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - 
110618 retrain,M,GG,5,97,1,4,LF270_,8,3028,3033,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,2002,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,8,3033,3088,55,8,0,0,2,,M,GG,5,97,1,4,LF270_,2017,8,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3088,3155,67,2,0,1,0,,M,GG,5,97,1,4,LF270_,2091,8,2,3,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,9,3155,3162,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,2096,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3162,3165,3,5,0,0,1,,M,GG,5,97,1,4,LF270_,2108,2,3,2,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3165,3170,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,2115,3,5,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3170,3232,62,8,0,1,0,,M,GG,5,97,1,4,LF270_,2118,5,4,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3232,3239,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,2123,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3239,3242,3,5,0,1,0,,M,GG,5,97,1,4,LF270_,2128,8,2,3,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,9,3242,3247,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,2147,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3247,3281,34,8,0,1,0,,M,GG,5,97,1,4,LF270_,2169,2,3,2,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3281,3288,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,2174,3,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3288,3291,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,2176,3,5,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3291,3296,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,2178,5,0,0,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,9,3296,3313,17,8,0,0,1,,M,GG,5,97,1,4,LF270_,2179,5,4,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,10,3313,3391,78,2,0,1,0,,M,GG,5,97,1,4,LF270_,2183,4,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,10,3391,3398,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,2184,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,10,3398,3401,3,5,0,0,1,,M,GG,5,97,1,4,LF270_,2198,8,2,3,0,0,1
110618 retrain,M,GG,5,97,1,4,LF270_,10,3401,3406,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,2222,2,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,10,3406,3482,76,8,0,0,1,,M,GG,5,97,1,4,LF270_,2893,2,3,2,0,1,0
110618 retrain,M,GG,5,97,1,4,LF270_,11,3482,3516,34,2,0,1,0,,M,GG,5,97,1,4,LF270_,2894,3,0,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,11,3516,3523,7,3,0,0,0,,M,GG,5,97,1,4,LF270_,2900,3,5,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,11,3523,3526,3,5,0,0,0,,M,GG,5,97,1,4,LF270_,2903,5,4,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,11,3526,3531,5,4,0,0,0,,M,GG,5,97,1,4,LF270_,2908,4,8,0,0,0,0
110618 retrain,M,GG,5,97,1,4,LF270_,11,3531,3533,2,8,0,1,0,,M,GG,5,97,1,4,LF270_,2941,8,2,3,0,0,1
