"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",81,3,2.15833333333333,121,118
"2","LF153",23,0,1.705,71,30
"3","LF154",5,0,1.72,39,5
"4","LF155",4,2,1,22,7
"5","LF156",16,33,5.63333333333333,69,20
"6","LF157",54,13,3.32105263157895,48,83
"7","LF160",6,4,2.26,142,11
"8","LF161",17,0,5.9,50,20
"9","LF162",3,2,48.5,31,4
"10","LF163",11,0,3.21,54,12
"11","LF164",7,0,5.77142857142857,18,8
"12","LF165",6,1,2.58,116,7
"13","LF166",28,4,1.67083333333333,87,39
"14","LF167",12,5,5.60909090909091,49,15
