"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",39,17,8.424,36,48
"2","LF153",6,0,7.01666666666667,18,6
"3","LF154",1,0,1.5,67,1
"4","LF155",2,1,2.7,12,2
"5","LF156",26,1,2.10833333333333,53,31
"6","LF157",29,9,20.775,14,36
"7","LF160",7,0,1.06,27,9
"8","LF161",10,0,2.7,16,16
"9","LF162",2,1,4.55,21,3
"10","LF163",8,0,1.62857142857143,27,11
"11","LF164",30,20,10.5388888888889,57,41
"12","LF165",7,6,5.51666666666667,47,9
"13","LF166",44,8,3.34878048780488,51,50
"14","LF167",15,2,3.32857142857143,21,22
