"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",68,2,2.33898305084746,41,90
"2","LF271",104,3,4.18840579710145,15,134
"3","LF280",121,3,2.80694444444444,16,153
"4","LF281",9,7,10.68,104,12
"5","LF282",138,4,2.47313432835821,18,176
"6","LF283",29,7,11.3307692307692,66,31
"7","LF284",77,13,5.55,10,97
"8","LF285",11,0,1.28,44,13
"9","LF286",131,4,2.28,26,153
"10","LF287",39,7,8.22142857142857,17,47
"11","LF288",23,4,15.8066666666667,31,24
"12","LF289",104,11,3.30425531914894,20,118
"13","LF290",139,2,2.3910447761194,21,176
"14","LF291",118,0,4.43508771929825,16,139
