"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",91,0,2.02033898305085,39,98
"2","LF153",69,0,2.53157894736842,77,84
"3","LF154",10,9,1.85,52,13
"4","LF155",8,1,19.8428571428571,14,10
"5","LF156",72,22,9.37096774193548,51,103
"6","LF157",43,1,1.86,22,66
"7","LF160",6,1,1.26,120,7
"8","LF161",11,0,6.63333333333333,53,12
"9","LF162",4,4,1.575,61,8
"10","LF163",9,0,3.71111111111111,20,10
"11","LF164",16,20,4.72,40,25
"12","LF165",3,2,6.13333333333333,83,3
"13","LF166",40,5,2.6,140,47
"14","LF167",17,1,3.32941176470588,69,21
