"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF152",18,4,5.13846153846154,32,23
"2","LF153",16,3,3.14545454545455,54,20
"3","LF154",15,14,3.59230769230769,49,22
"4","LF155",19,2,33.875,15,22
"5","LF156",7,17,2.14285714285714,86,10
"6","LF157",27,8,3.27777777777778,105,46
"7","LF160",6,1,4.06,93,7
"8","LF161",12,1,2.37777777777778,13,17
"9","LF162",6,1,25.34,29,7
"10","LF163",8,5,2.54285714285714,26,15
"11","LF164",8,6,8.21428571428572,99,8
"12","LF165",5,1,3.25,53,6
"13","LF166",7,2,1.5,94,7
"14","LF167",9,1,1.9,62,10
