"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",93,2,2.83134328358209,21,106
"2","LF271",99,5,3.68333333333333,26,117
"3","LF280",131,3,3.88620689655172,6,160
"4","LF281",11,2,11.4333333333333,82,16
"5","LF282",140,8,2.39444444444444,8,180
"6","LF283",37,4,5.016,9,40
"7","LF284",122,5,8.5,11,156
"8","LF285",3,0,1.06666666666667,37,3
"9","LF286",135,3,3.70277777777778,15,162
"10","LF287",121,7,3.46896551724138,10,170
"11","LF288",30,2,3.81176470588235,47,35
"12","LF289",133,3,4.4195652173913,12,143
"13","LF290",85,23,5.59347826086957,12,105
"14","LF291",95,2,3.68545454545455,4,101
