"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF270",52,2,2.62727272727273,33,70
"2","LF271",101,3,4.02077922077922,45,118
"3","LF280",5,17,6.325,22,5
"4","LF281",13,3,5.01111111111111,23,17
"5","LF282",131,4,1.64925373134328,56,194
"6","LF283",62,2,2.63571428571429,31,71
"7","LF284",130,1,2.40192307692308,13,183
"8","LF285",3,0,2.5,14,3
"9","LF286",154,0,1.96179775280899,20,175
"10","LF287",55,4,3.78529411764706,8,73
"11","LF288",35,0,3.43448275862069,37,37
"12","LF289",118,0,3.93717948717949,11,152
"13","LF290",78,9,4.72542372881356,41,95
"14","LF291",100,3,3.14237288135593,16,116
